ユーザーネーム,テキスト,URL,日付
れもも,就職活動めっちゃ不安…。,https://Twitter.com/2dx_sara/status/1465800316654616577,2021-12-01
Sulfur,コロナで就職できるか不安だ,https://Twitter.com/sulfur56089136/status/1465751055183257600,2021-12-01
なづ,明日就職出来るかどうかわかるよ〜お腹痛いよォー,https://Twitter.com/nadu0322/status/1465692694492053519,2021-12-01
TATSU,まあ就職したらわかるわ,https://Twitter.com/Fai_ry_sukumizu/status/1465689952029581321,2021-12-01
おゆ,任天堂より就職難しいとこ志望してるぜ私。,https://Twitter.com/Ollsyukatsu/status/1465686143169486855,2021-12-01
doraおぃも,就職どうしようか。,https://Twitter.com/dora86146195/status/1465671094887612424,2021-12-01
T,しかも就職しても1年か2年で絶対辞めるって分かってるから、余計選び辛い,https://Twitter.com/temipon_0709/status/1465670392207400960,2021-12-01
成瀬あむ,就職どうしようかな,https://Twitter.com/narusex_x/status/1465663989145235463,2021-12-01
ユウカ🦭→12/28レディクレ,あいみょんファンクラブツアーは実習中で全国ツアーは就職試験の日。無理無理無理無理いいいいいいいいいいいいいい泣く,https://Twitter.com/yu_kaaaaa_/status/1465653660793245702,2021-12-01
せろり,就職先を湘南で探すかマジで悩む…,https://Twitter.com/yy___srr/status/1465648807719305217,2021-12-01
つきか☪︎,就活不安すぎて、、、就職できる気がせん、、、,https://Twitter.com/fragile_smile/status/1465648345649606659,2021-12-01
月桜,どこにも就職できなかったら、どうしようかね…,https://Twitter.com/tuki_sakura_m/status/1465628227594960900,2021-12-01
さぶそらお,就職って難しい。,https://Twitter.com/sab_osora/status/1465595062100791300,2021-12-01
みうら 金カム12/5昼夜参戦,まじで就職できなかったらど〜しよ,https://Twitter.com/miura__land/status/1465591513795088386,2021-12-01
テンヤ「RN:オンリバーウェイ」,"やべえ
これ就職できないやつだ",https://Twitter.com/tky_onriverway/status/1465588421972217857,2021-12-01
らーげりくん🧪🗻🀄️,マジでそろそろダイエット始めないと就職とか進学に影響出てくるから誰か助けて,https://Twitter.com/LGRKN1/status/1465584103131009027,2021-12-01
かいぽんちぽん,"障害者雇用で就職出来るかただ不安。
どーなることやら",https://Twitter.com/kaipontipon/status/1465577653671366656,2021-12-01
零音,就職活動難しいなぁ,https://Twitter.com/leon_photomax/status/1465564508617732101,2021-12-01
ら め,本当に今の就職先で決めていいのか悩む,https://Twitter.com/Rameeee___29/status/1465563939169714179,2021-12-01
