ユーザーネーム,テキスト,URL,日付
メンヘラ辛いさんbot,就職先が見つからなくて辛いです…,https://Twitter.com/tsurai__desu__/status/1463930230838788097,2021-11-26
HYDRYDE ＜りゅうにゃん ＞,誰か島根県で良い就職先おしえてください。なんでもやる,https://Twitter.com/HYDRYDE/status/1463910134736842752,2021-11-26
ず,"採血実習で毎回失神しかけるんほんま無理
対策のしようがないから就職後不安しかない",https://Twitter.com/yzchi_1017/status/1463901772108361731,2021-11-26
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1463898531455205378,2021-11-26
いもすけ,本当に就職できるのかただただ不安でしかない,https://Twitter.com/poteogogo/status/1463874384968716288,2021-11-26
のん,"病気のせいでなんで就職出来ないの
やりたいこと出来ないのが1番辛い",https://Twitter.com/_nonnon0_/status/1463865607145680898,2021-11-26
ゆなーたん@パイプライン,就職はみんな不安って言わたけど私らはより不安なのよ！わかって！！？,https://Twitter.com/kotone_momo0/status/1463717298783485955,2021-11-26
水嶋ちゃん,就職先マジ悩む,https://Twitter.com/hagechan_xoxo/status/1463712156067655682,2021-11-26
推しがウエディングドレスを着てる姿どこですか？？,みんなどこに就職してんの、、おしえてくれ、、,https://Twitter.com/hina__dayoo_/status/1463687168136663044,2021-11-26
めりさぶ,私に就活と卒論どっちもは無理どっちかひとつしか出来ない、、病みそう就職したくない,https://Twitter.com/M_sub25/status/1463664865139060742,2021-11-26
あーるちゃん🐳,PMSのメンタル病み期は普段以上に就活がしんどく感じる😇ﾀﾋ,https://Twitter.com/MfKaaeVlj8cKGLd/status/1464009859863506944,2021-11-26
みるくてぃ,"まじで就活のあれが迫ってきて
当落どころではない、、、まじでやばい、、

当落前にメンタル死にそう",https://Twitter.com/_tkyt_milktea_/status/1463950890138693636,2021-11-26
nntここにいます@22卒,なんでまだ就活してるのか本当に分からん,https://Twitter.com/22nnt__kokodayo/status/1463915693624074261,2021-11-26
ゴリアン,自信がなさすぎて就活不安で仕方ないよぉ,https://Twitter.com/gogo_gorian/status/1463908320251502593,2021-11-26
ｲｯﾇ 𝑒𝑡 𝑎𝑙.,就活 何をどうすればいいのか分からないからまだしてないな。,https://Twitter.com/_innocent_fool/status/1463897524264005634,2021-11-26
ちはや,ペアルック、シミラールック、リンクコーデの違いが明確にわかるので就活に不安は全くないです,https://Twitter.com/noma_chihaya/status/1463883902787878916,2021-11-26
らいはガチャ禁します,就活の何が嫌かってゲーム出来ないことですよね…………,https://Twitter.com/123lllllight41/status/1463877836117217291,2021-11-26
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1463875587953786880,2021-11-26
𝔐𝔦𝔫𝔞∗︎*ﾟ,幕張か大阪かどうしようか…就活なんもわからん,https://Twitter.com/mokkun_shy/status/1463872331688730627,2021-11-26
みと,就活って無理向いてない,https://Twitter.com/thirtydays_927/status/1463865742223282187,2021-11-26
三面等価,あとどこからが就活なのかよくわからない,https://Twitter.com/tmy_reunion/status/1463864108185391108,2021-11-26
yuki,就活辛い…誰か助けてぇ,https://Twitter.com/Muni_02ale/status/1463858875560386567,2021-11-26
質素ﾅ倹約ﾅ節制生活,まじでむり就活なんもしとらん,https://Twitter.com/7na_ota_na7/status/1463858650846412804,2021-11-26
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1463854464914575360,2021-11-26
toulove@パライソ死んだ,あああ、しんどい。しんどい。このままクソデカ感情抱いたまま就活するのしんどいよォ！！！！,https://Twitter.com/toulove_0529/status/1463849409406373891,2021-11-26
