ユーザーネーム,テキスト,URL,日付
み,鬱になってきた就職できる気がしない,https://Twitter.com/oshi_peroi/status/1425597439180828672,2021-08-12
依存性,就職しちゃったら死ぬほど病むんだろうなぁ,https://Twitter.com/izon__00/status/1425509649931902985,2021-08-12
うと@うどん,就職不安しかない日本の労働時間見直して欲しい,https://Twitter.com/utoutoudon/status/1425492441163988995,2021-08-12
麗薇,やばい皆もう就職先とか考えてるよね私何もしてない😀,https://Twitter.com/yammy_reivanish/status/1425490931281588231,2021-08-12
KURO♚,まだ(もう)3年後だけど僕就職できる気しない×  ̫ ×,https://Twitter.com/ikihazisarasoww/status/1425460612897775631,2021-08-12
na,就職となると悩むな、、、、,https://Twitter.com/meguro_wo/status/1425453891936677899,2021-08-12
一華,俄然就職へのやる気は出てきたよね病んでる場合じゃねぇ,https://Twitter.com/ichikamoti/status/1425424505699115015,2021-08-12
きむちちゃーはん,いい就職先だ,https://Twitter.com/nannandeshouka/status/1425415743504453640,2021-08-12
なゆらい そろそろ退院じゃい,最近、就職先 自衛隊目指そうか悩んでるなぁ…,https://Twitter.com/nayurai581/status/1425409243989954562,2021-08-12
しお,就職試験の筆記がやばいから勉強したいけどどうやったらいいかわからん！,https://Twitter.com/nemu__jp/status/1425388515907440645,2021-08-12
マ、ヘ。タ！,就職試験の対策本どれがいいのかわからん,https://Twitter.com/mahemahemahetaa/status/1425385780474638348,2021-08-12
まさ【甘雨復刻までガチャ禁】,無理だとは分かっているけれど、mixiに就職したい,https://Twitter.com/Itsuki5_Love/status/1425376701438070794,2021-08-12
🍓あみ𓂃 𓈒𓏸,"自己分析って難しいね
就職難しい",https://Twitter.com/CR_a___/status/1425373657908477953,2021-08-12
だーいし@対人恐怖症,"親戚への就職祝いのお返しの手紙無理です
何書けばいいのだ",https://Twitter.com/ngdaisi_wakimi/status/1425332220424724483,2021-08-12
さわら,"就職どうしよう…
がちで焦ってきた",https://Twitter.com/ponkotu_2013/status/1425326788603879424,2021-08-12
M2,虎ノ門病院に就職ってむずいんかなー,https://Twitter.com/TInTiNTrAIn1919/status/1425317014751481858,2021-08-12
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1425278446498836483,2021-08-12
Enchan,就職無理説まじでわかる,https://Twitter.com/EnchanLab/status/1425275973390327810,2021-08-12
いくら,就職活動しんどい,https://Twitter.com/ikurah18/status/1425270418705764355,2021-08-12
こん,就活のことが不安で四六時中考えてるけど実際に行動に移せてない。就活と将来について考えて不安になってるだけのカス,https://Twitter.com/kon_kon_0329_22/status/1425512418193543171,2021-08-12
かずずゔぃぶりたにあ,"就活まじで辞めたい。。
就活の仕方おしえてくれい。。",https://Twitter.com/kazuya_vxxv/status/1425499197646639107,2021-08-12
めりぃ,就活なかなか進まないなぁ。やりたいことが明確じゃないからその分どう進めればいいのか分からなくなる。将来のことしっかり考えなくちゃいけないのは分かるんだけど,https://Twitter.com/Merry___012/status/1425498038601064452,2021-08-12
りこ,そろそろ就活しないとと考えると悩みまくって吐きそう,https://Twitter.com/Z5cWjQvoeRLEZie/status/1425489167132225536,2021-08-12
小林ぽてと,来年就活なのがマジで嫌すぎる,https://Twitter.com/couch_Potako/status/1425483711974297606,2021-08-12
あさり,早く就活終わらせたい、不安でしょうがない,https://Twitter.com/Shv4SHcUy7t59Qd/status/1425472166804393984,2021-08-12
そると💎,就活しようかな……,https://Twitter.com/shio_sg/status/1425469973330202625,2021-08-12
綾瀬蒼空,長所なさすぎて最近自分がわからなくなってる就活メンタルやばいかもしれない,https://Twitter.com/sakanokirin/status/1425469781730226184,2021-08-12
わくわくローストビーフちゃん,就活、マジで怖い,https://Twitter.com/roastbeef_chan/status/1425468883968790532,2021-08-12
凹(もがさ_りん),マジで就活どうしよう...............,https://Twitter.com/013_fmnR/status/1425458275219247104,2021-08-12
しょこ🍫,何がしんどいんだろう、就活、卒論、人間関係、全部しんどいよ、全部しんどくて何でしんどいって思ってるか見えない,https://Twitter.com/sukisuki_chocol/status/1425457185253838848,2021-08-12
くわみさ,就活辛いよー😂,https://Twitter.com/kwamisa1/status/1425437436797014024,2021-08-12
ぴよ鳥🐥ここにもお麦ありますよ！！,"就活って調べると死にたいって出てくるの嫌
すでに嫌",https://Twitter.com/piyo_piyotori/status/1425437400960929796,2021-08-12
りぃ,就活とかそういうのよりも、おっきすぎる悩みできてしんどすぎ,https://Twitter.com/riiiii0003/status/1425431210533081088,2021-08-12
あるて❄,就活もう既に諦めてる所あります(訳:どうしたらいいかわからん),https://Twitter.com/artemist24/status/1425426325385347077,2021-08-12
ホーくん,就活進んでるってラインが1番怖い,https://Twitter.com/ho_______kun/status/1425421236272648195,2021-08-12
na,"就活難しすぎる
奨学金考えなきゃ山ほどいい病院あるんだろうけど、考えてしまう、、
急性期だけじゃキツイかな",https://Twitter.com/meguro_wo/status/1425419558983114754,2021-08-12
油淋鶏🐣,就活で病む人の気持ちが少しわかる日でした！！！,https://Twitter.com/yurinchi6/status/1425415050408255492,2021-08-12
チョコミルク,就活だるすぎる,https://Twitter.com/chokomilukian/status/1425410475211116549,2021-08-12
ｍａｈｉｔｏ,あーもう就活無理メンタル死ぬ死ぬ,https://Twitter.com/rnahi_/status/1425396281791242244,2021-08-12
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1425392090293313547,2021-08-12
赤星克己,最近の就活情勢見ててマジ無理しんどそう,https://Twitter.com/kononahagimei/status/1425390196791545859,2021-08-12
ラ 23卒,"みんな誰にes添削してもらってますか？？もしよかったら教えて欲しいです🥺

#23卒　#就活",https://Twitter.com/ajpmgtpjdpw/status/1425364790906478595,2021-08-12
だから死にたいbot,難関大学に入学出来たのに就活つらすぎて死にたい,https://Twitter.com/wannadie_bot/status/1425353551677562880,2021-08-12
小林正季,就活できっかなクソ不安,https://Twitter.com/mabo584/status/1425350903456944129,2021-08-12
みみまお,就活まじで辞めたいまじで無理泣きたいしぬしんど,https://Twitter.com/miffyy154/status/1425345444327038977,2021-08-12
み な み 🐼💟 圧倒的ｼｭﾝｷﾁ︎︎︎︎。,就活病み,https://Twitter.com/Shunkichi_1229/status/1425342309269327877,2021-08-12
りぃ,就活クソ忙しくてまじで無理👼,https://Twitter.com/riiiii0003/status/1425334697576394760,2021-08-12
げん,なんで就活ってこんなに難しいん,https://Twitter.com/gennta16002/status/1425307344754208768,2021-08-12
わっしー,"電話苦手だ、、
就活も無理",https://Twitter.com/wasiwasiiiii/status/1425283861752078341,2021-08-12
K,エントリーシートだるすぎて吐きそう,https://Twitter.com/k_law2/status/1425393585940090881,2021-08-12
おきぴ,任天堂のエントリーシート早く書かなきゃ,https://Twitter.com/ChickenNanbann/status/1425351674047041537,2021-08-12
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1425346240309460996,2021-08-12
徹,エントリーシート書かなきゃいけないんだけど何も思いつかない。,https://Twitter.com/56md45/status/1425295632927846414,2021-08-12
鰆,ウェブ面接まじで嫌だ,https://Twitter.com/3warabee/status/1425589957326872576,2021-08-12
まっそ,面接への不安で寝れない,https://Twitter.com/masso825/status/1425532601339551748,2021-08-12
すずかぜさとる△🏮⚔,二次面接マジで不安すぎる,https://Twitter.com/yun_aoba_pad/status/1425514998604783618,2021-08-12
でれら,"面接怖い
まだ予定はないけど、詰められたらやだなと考えてしまう",https://Twitter.com/dereraaaa/status/1425487212427190276,2021-08-12
