ユーザーネーム,テキスト,URL,日付
pura_ripura,マジで就職の見込みがなさすぎて精神がヤバいんだよなあ自分……,https://Twitter.com/ripura_df/status/1444813645091794947,2021-10-04
零,"おはようございます。
就職試験ということで、今山形に向かってます。
めちゃくちゃ緊張してヤバい
誰か助けて",https://Twitter.com/REI1203GAME/status/1444802650873077763,2021-10-04
カービィ,"父親無理
就職しろだって
いいよ別に",https://Twitter.com/lxllolvarious/status/1444689341163266048,2021-10-04
はやぶさ,彼女出来ないし就職先は残業代出ないしで将来不安しかない,https://Twitter.com/jixds/status/1444681635278962690,2021-10-04
武蔵デブリミット9200rpm,割とマジでUpgarage就職でもしようかな,https://Twitter.com/SINTK_DHU14th/status/1444678819852423174,2021-10-04
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1444673743406567425,2021-10-04
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1444669593159565322,2021-10-04
メンヘラ辛いさんbot,就職先が見つからなくて辛いです…,https://Twitter.com/tsurai__desu__/status/1444663279440175105,2021-10-04
ゆか@固ツイ,卒業までに就職先見つかるのかな…しんどい,https://Twitter.com/banG1425yu/status/1444656696102588423,2021-10-04
優🍅 次回発送10/8(金)予定,就職活動できる？？無理じゃない？,https://Twitter.com/yusordao0523/status/1444652024650354689,2021-10-04
ごとう,就職どうしようかな〜〜、、、,https://Twitter.com/goto_no_honne/status/1444649629400793094,2021-10-04
田端　誠海,"まじで課題やばい。
そんで就職先ない笑
あ詰んだ",https://Twitter.com/nu81game/status/1444636853533962244,2021-10-04
ご依頼ﾘｯﾄﾘﾝｸ読んで,でもぶっちゃけいつ依頼受付け辞めるか分からないし来年には就職してるのでもうなんもわからん,https://Twitter.com/tag3828/status/1444622413841383427,2021-10-04
とほ,就職に不安しかないので修飾してください,https://Twitter.com/syonben_moreta/status/1444621400195559433,2021-10-04
ゆうた @バロキッズ,大１だけど最近就職先めっちゃ悩んでる。,https://Twitter.com/pokemon427/status/1444614876567982084,2021-10-04
リナ@トーマとタルタリヤありがとうございます,就職のことは分からん✩,https://Twitter.com/Rina022496/status/1444561872510877697,2021-10-04
萎えうにか,就職試験嫌だ,https://Twitter.com/ur1xa/status/1444558998485667842,2021-10-04
