ユーザーネーム,テキスト,URL,日付
マンボウ系男子,就職活動が辛くて辛くて泣いちゃう。#マンボウ系男子,https://Twitter.com/manbou_boy/status/1463283454632935424,2021-11-24
ゆら,もう社会嫌だ就職嫌だ,https://Twitter.com/qRcHqzN94GEZWiR/status/1463278209668026370,2021-11-24
こーへい！！,就職の事も考えないとだし、つらいな。,https://Twitter.com/ko810hei/status/1463278108459503617,2021-11-24
S.TAICHI,卒論かけるか不安だし就職もちゃんとできるか不安だしなんか色々不安,https://Twitter.com/1214_M_T/status/1463159088028733447,2021-11-24
ちか,どうせ就職だしいっそのこと開き直るかって思うけどやっぱり未来が不安で無理いいあああ辛いよおお,https://Twitter.com/ccchikaaa_/status/1463158078027689985,2021-11-24
terry@学パス580,就職も不安じゃ,https://Twitter.com/terry_univ/status/1463155244943163406,2021-11-24
細雪,就職してから初彼女とかきつすぎ,https://Twitter.com/MikaWa_matP/status/1463152406095704066,2021-11-24
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1463143577467645954,2021-11-24
十九,就職ひとつも分からん,https://Twitter.com/tsudzu19/status/1463133989368053761,2021-11-24
きゃりこ,就職できるかわからんから2月とかにしたろ,https://Twitter.com/kyaricotter/status/1463115598750126080,2021-11-24
もしもし鉄朗だbot,"もしもし黒尾です、…はい。
…進学か、就職、…はい…分かってます…",https://Twitter.com/tetsurouda_bot/status/1463089538797293568,2021-11-24
キー,ぶっちゃけこのまま今の就職先でいいのかわからん…,https://Twitter.com/HEKi0meR6vDrQi7/status/1463086470047035396,2021-11-24
むひ氏,せっかくの祝日に、就職のことについて永遠と悩み病んでいる,https://Twitter.com/ani_kk_s/status/1463072230514966530,2021-11-24
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1463064913300140033,2021-11-24
くろえ,"就職まじでどうしようか考えないとな

マジで・・・",https://Twitter.com/Ir1sweetS2Chroe/status/1463036442704187392,2021-11-24
丘,一回も就職した事ないのがやばいのは私もよくよくわかってます,https://Twitter.com/P_owel_l/status/1463008726827212808,2021-11-24
諏訪,やべえ就職せないかんのは分かっとるけど出来ねぇ,https://Twitter.com/950808__/status/1462991873530679301,2021-11-24
リヌルナリア,なんもできることがないから就職できん,https://Twitter.com/Nari_nania/status/1462989363680530434,2021-11-24
浪本田,就職できるのか不安。早起きできない,https://Twitter.com/qE7xIc8mNoqLfD5/status/1462983503298306048,2021-11-24
らいせ,就職できるのか大学卒業できるのか不安、ゼミも不安つら……………,https://Twitter.com/yume_0999/status/1462960177464758279,2021-11-24
アカネ🌸@ 🔰多忙/リプ返🐢🙏💦,あややの就職先教えてくれ,https://Twitter.com/Akane_0317/status/1462955189657169926,2021-11-24
黄金の初号機,"やばいやばい
就活で話すネタが無い
(((((まだ一年やろ",https://Twitter.com/GtdQqem/status/1463273744915316741,2021-11-24
158さん,"今日は就活などをします
辛いね",https://Twitter.com/1_5_8_3/status/1463241972827979776,2021-11-24
戸棚,就活できる気しない,https://Twitter.com/oh_my_god___a/status/1463203330394447875,2021-11-24
上品なめび,就活の方がむずいもん,https://Twitter.com/als_start/status/1463186051984355339,2021-11-24
まい．,就活無理すぎて、,https://Twitter.com/mG5hU/status/1463179436249866242,2021-11-24
なお,"明日が無理すぎる模擬面接とかやだ
就活まだ始まってもないくらいだけどもうやりたくない面接ほんと苦手",https://Twitter.com/nao_7070319/status/1463179423683727362,2021-11-24
鬱だ…死のうbot,就活…鬱だ…死のう,https://Twitter.com/utsu_shino_bot/status/1463174448366903309,2021-11-24
はる,就活むり,https://Twitter.com/_haru_r/status/1463164176805810198,2021-11-24
riiisa🐬,就活しんどい,https://Twitter.com/___riiisa1624/status/1463155362706518017,2021-11-24
ゆーり@下忍(18年),就活の自己PRが分からん！！,https://Twitter.com/tuki4256/status/1463154152704552964,2021-11-24
🍎ほりりんごセブン,"就活だるい
誰か雇って",https://Twitter.com/horiringo7/status/1463140916483428357,2021-11-24
蒼@24卒,"就活、何からしていいのかわからない、、、

#24卒　＃24卒と繋がりたい",https://Twitter.com/aoao_marron/status/1463140606491099136,2021-11-24
Hola@23卒,就活中super beaverにめちゃ助けてもらってる,https://Twitter.com/Hola22214151/status/1463138274399064074,2021-11-24
Aile🍋,就活普通にしんどい,https://Twitter.com/aile_0315/status/1463135153715253248,2021-11-24
うゆ🐰,就活のこと考えると病む,https://Twitter.com/nakotch_uyuyu/status/1463129829465739267,2021-11-24
あやか,就活嫌や！！！！！（早い）,https://Twitter.com/tsuru_106/status/1463119915401969672,2021-11-24
鍵パカしげる,就活まじでなんなのかよく分かってない してない,https://Twitter.com/yurusana__i/status/1463116923617439747,2021-11-24
シチ,"今、就活中で全然小説書いてないけど終わったら必ず書くので……多分…………うん、たぶん、書く

ごめん、必ずはちょっと無しでwwwww",https://Twitter.com/shiti637/status/1463104059452190722,2021-11-24
だから死にたいbot,難関大学に入学出来たのに就活つらすぎて死にたい,https://Twitter.com/wannadie_bot/status/1463102282258874371,2021-11-24
みみ,就活っていつから始めるものかわからないけど、まだ先のことは考えたくないな,https://Twitter.com/m1misan/status/1463100874301980672,2021-11-24
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1463095498462867456,2021-11-24
