ユーザーネーム,テキスト,URL,日付
キキララダブルメンションキキララ,よくわからんまま就職するとか死ぬまでよくわからんまま人生終えてまいそう,https://Twitter.com/t4rh9/status/1443002225513492480,2021-09-29
えり,Uターン就職って難しいな,https://Twitter.com/snoopypaan/status/1442994494777937920,2021-09-29
祝日@きょ,就職先はSCP財団がいいけど私バカだから無理かな~~~あ~~~Dクラス？あ~？？,https://Twitter.com/kyo_g0g02/status/1442884374429519872,2021-09-29
やんまる,近況はなんとか就職できそうなんですけど勉学がやばくてヤバいです（）,https://Twitter.com/poke12348spla/status/1442860046958792705,2021-09-29
ずねこ,就職とか色々先の事考えてたけどよくわからん,https://Twitter.com/zuneko_007/status/1442843020475322374,2021-09-29
霈-ひさめ-,やっぱ東京就職がいいよな〜〜,https://Twitter.com/_Hisame___/status/1442840699309748228,2021-09-29
ながい,就活は嫌だが就職はもっと嫌だぞ。,https://Twitter.com/n20152fg/status/1442832190727884807,2021-09-29
ぽにょこ,やっぱり遠距離ずっとは無理だなあ。でも同じところに就職できる保証もないし、つらい,https://Twitter.com/po_nyo_ko_/status/1442829262348709891,2021-09-29
もしもし鉄朗だbot,"もしもし黒尾です、…はい。
…進学か、就職、…はい…分かってます…",https://Twitter.com/tetsurouda_bot/status/1442795839546531845,2021-09-29
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1442786309014102016,2021-09-29
はじめ,"就職できるかどうかじゃなくて、どこで生きようかを悩んでて病みそう
一生の決断を迫られてるようで苦しすぎ😭",https://Twitter.com/baseball4060/status/1442778977643352068,2021-09-29
なかゆう,コイキングと野獣邸訪問のせいで就職出来なかったらどうしよう,https://Twitter.com/Nakayu_CH4N/status/1442769509249523715,2021-09-29
浅羽ぱられりぃ,バイトやだな〜就職もやだな〜,https://Twitter.com/pararely/status/1442764928880820226,2021-09-29
ı̣dɐꓕ,就職活動つら…笑,https://Twitter.com/Tapi_love_Neko/status/1442764203517890560,2021-09-29
弱者,就職こわいこわいなの,https://Twitter.com/_uhom/status/1442754644841615365,2021-09-29
あみ@秋葩P,どこに就職したらいいかわからん,https://Twitter.com/ami_125708/status/1442752001188585473,2021-09-29
若,卒論きつい〜就職怖い〜,https://Twitter.com/INU__WARAU/status/1442726245381271552,2021-09-29
人権がない,まじで就職できるかどうかには焦ってないけど就職上手くいかないとディズニー行けないかもしれない事に今1番焦ってる,https://Twitter.com/3___Sand/status/1442720323623743488,2021-09-29
prompt.,どこで就職しようか悩む,https://Twitter.com/p33543557/status/1442705261165088775,2021-09-29
いぬ,就職試験落ちてるの笑っていいのか泣いていいのか分からない,https://Twitter.com/xHLDHvsx2XJbfj0/status/1442701698741325829,2021-09-29
すだち,就職まじでどうしよう,https://Twitter.com/Sudachi_second/status/1442678771094487045,2021-09-29
のんおまる,なあ、就職活動とかやめないか？辛いだけだろ,https://Twitter.com/heritoma/status/1442670236969304070,2021-09-29
枯らし明太子,だんだん就職近づいてくるの鬱,https://Twitter.com/karashi1st/status/1442667934535413761,2021-09-29
しおぼんじり,"就職作品の問題、難しいなぁ・・・
（下手に口出しできない）",https://Twitter.com/MWS_001/status/1442654178334023680,2021-09-29
HS/木菟斗＆四季風子(病み期),"６ヶ月も先なのに今から不安で不安でたまらない

ちゃんと就職できるかな…",https://Twitter.com/2an_sikifuuji/status/1442642494823407619,2021-09-29
