ユーザーネーム,テキスト,URL,日付
はしもっちゃんかずき,うーん、就職先どこが良いのか全く分からん🤔,https://Twitter.com/Kazooklyn/status/1463645974652350473,2021-11-25
Sulfur,コロナで就職できるか不安だ,https://Twitter.com/sulfur56089136/status/1463606907466567681,2021-11-25
か,新卒なのにまだ就職先見つからない…不安すぎて眠れない日々。,https://Twitter.com/JFX9aIh2ooyVuuh/status/1463561424567881734,2021-11-25
クロ@cﾒ*σ ᴗ σﾘ,"やばい
一刻も早く就職しないと",https://Twitter.com/kuro120543/status/1463552334374764546,2021-11-25
takuma,"卒論も書けないし、どこにも就職できる気がしない。
みんなは出来ることなのに何で自分は何も出来ない？",https://Twitter.com/gyoza_Takuma/status/1463542960226586624,2021-11-25
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1463533002454351873,2021-11-25
ももちゃん,いきなりそっちに就職とか無理やろからどうにかして名をあげないと無理そう…,https://Twitter.com/AKACAN_Gyaa/status/1463520278777307136,2021-11-25
みゃ(おかず用),でもこれが就職に繋がらないから詰んでるんだよな,https://Twitter.com/kagehumi12/status/1463511657410224132,2021-11-25
ノカ,就職について考えれば考えるほど何もわからなくて鬱,https://Twitter.com/okag_n/status/1463474165051101195,2021-11-25
野中,就職不安でしかないよううう……,https://Twitter.com/ama8dori_tyu/status/1463464373440053258,2021-11-25
m,就職に関して不安しかない。,https://Twitter.com/alicewith_/status/1463416086008066048,2021-11-25
pond⚖️,"就職かぁ
就活辛そう",https://Twitter.com/pond6814/status/1463392131779739649,2021-11-25
ぽぺら,自分の就職先が宙ぶらりんだということがわかった……まあなんとかなるだろうという甘い見込み,https://Twitter.com/ppr_exe/status/1463366967876747272,2021-11-25
Black,就職の方がいいのかなぁ,https://Twitter.com/Black0406/status/1463366411326083073,2021-11-25
蓮七(れな)@カバフェス†┏┛墓┗┓†,"アルゴナビスに就職とかやばすぎる
まあわいはパソコン出来ないんで無理だけど🤷‍♀️",https://Twitter.com/renai0331/status/1463320393381412864,2021-11-25
しらす,就職とか無理よ,https://Twitter.com/sirasu_tubuyaki/status/1463307755163316224,2021-11-25
sato,就活不安すぎる,https://Twitter.com/sato87260677/status/1463651668881403908,2021-11-25
ゆちゃん,え、もうどうしよう就活,https://Twitter.com/honestme_77/status/1463644746853744642,2021-11-25
🍀ふだし＠隣町引越SE🍀,圧倒的に就活がしんどかった我々…,https://Twitter.com/futter_/status/1463636980227768320,2021-11-25
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1463563577223442433,2021-11-25
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1463551943583084546,2021-11-25
