ユーザーネーム,テキスト,URL,日付
Kyoniichan,就職辛い,https://Twitter.com/kyoniichan/status/1432119209262211073,2021-08-30
明中bot,文学部はいいぞ～！どこでも就職できるからな！！！(西富),https://Twitter.com/meinakabot/status/1432060561747943428,2021-08-30
年こた🐦🎮くまくま隊副隊長,"コロナなんか怖くないね！
今一番怖のは何かって？それはね、

就職できるか自分の将来が不安だよ。",https://Twitter.com/kotatsu192146/status/1432035068252360711,2021-08-30
たの,就職先に何を求めれば良いのかがガチで分からん,https://Twitter.com/T4N0_ch/status/1432033746857857027,2021-08-30
c21.6,"就職するの死ぬほど不安だけど、就職先に対しての不安はないんだよね
何もしなかった俺が志望業界に勤められるだけでも本当にありがたい",https://Twitter.com/kaiser_1211/status/1432031459523514368,2021-08-30
女の子,marchってそんな就職やばいの？,https://Twitter.com/tokyomita/status/1432018036504944640,2021-08-30
あかり,就職先そこがいい,https://Twitter.com/an_an_an_1003/status/1432005206707879939,2021-08-30
あるい,悩める就職バツイチよ❤,https://Twitter.com/Earl_Greyish/status/1431989132293595139,2021-08-30
ｻｲｺおばけ沼沢は21卒nnt,就職の事ばっか考えてしまって休日ゆっくり出来んかった……まあ毎日が休日みたいなものなのでいいんですけど,https://Twitter.com/naiteihoshiina/status/1431982790992531460,2021-08-30
ゆーさん@ベネズエラ,まず行けるかわからん。時期的に(就職とか567とか),https://Twitter.com/YUSAN_1258/status/1431968089080430595,2021-08-30
るか子,就職先が椅子人なのたしかに嫌だな……,https://Twitter.com/burusukofafever/status/1431966636412575744,2021-08-30
まもる,"明日就職のプレ？とかあるの嫌だよー病むよー
でもお金なくても病むよーうわーん",https://Twitter.com/mamoru_gunshi/status/1431958570715598851,2021-08-30
WAKA,"来年から就職で関西離れるから
RUSHBALL行けるかわからんの辛すぎるな、、。。",https://Twitter.com/WK_RRR/status/1431957543157321729,2021-08-30
ざき,就職どうしようか,https://Twitter.com/panran7662/status/1431943116290883588,2021-08-30
ハルトゥー,就職したくなさすぎて病みそう,https://Twitter.com/Mild_Harutoo2/status/1431906122550558721,2021-08-30
こんどう,就職先について教えてください,https://Twitter.com/kondo_west/status/1431876267192643585,2021-08-30
カイ@祝FF9アニメ化┏┛墓┗┓,タスクを課されるとぐずぐず、わかるー。だから就活がしんどいんだろうし。やらないと親がヤバいしそっから逃げる金もないのは分かってるけど、それでもしんどいしなぁ,https://Twitter.com/kitunehatena/status/1432121293852200960,2021-08-30
長嶌 義彰,就活失敗しているから無理じゃん。,https://Twitter.com/YVOVSVHIF8642/status/1432101314373177349,2021-08-30
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1432082059795722242,2021-08-30
臆病,就活と売春の違いがあまりわからない,https://Twitter.com/0p32NjhDuTueGCX/status/1432055584312868866,2021-08-30
ﾎﾟﾋﾟﾎﾟﾋﾟ,就活脆弱勢すぎてどの会社がメーカーか分からん。大手企業なのかどうかも分からん。東大が国立大学なのか私立大学なのか分からんレベルに分からん。,https://Twitter.com/popilization/status/1432055564238868480,2021-08-30
まなみ,ほんとに就活やだ。しんどい。メンタルが持たん。,https://Twitter.com/__xx116/status/1432037066171318275,2021-08-30
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1432028368849948676,2021-08-30
ボブりん,就活つら過ぎ,https://Twitter.com/snowboaber/status/1432026612082495492,2021-08-30
ka,就活やり直すか悩む,https://Twitter.com/__k__h__y/status/1432013298174607370,2021-08-30
y u n a,社不すぎて n年後ちゃんと就活できるのか不安になってくるぜ,https://Twitter.com/yunastagram/status/1432004622139334656,2021-08-30
Y.I.⌬「彗星」準佳作受賞,就活どうしようか…,https://Twitter.com/WD_Tuber_120606/status/1431996772964974597,2021-08-30
ばけ,うぅ……就活つらい…………大学生の就活程じゃないのは分かってるけど……でもつらい…,https://Twitter.com/kekeke___A3/status/1431993257018281984,2021-08-30
がるぼ👶🏻🍼,就活きつい,https://Twitter.com/galbo_galbo_115/status/1431992642108227596,2021-08-30
はれねこ(祭猫),31日インターン一時間だけなのに本当に嫌。就活嫌だ,https://Twitter.com/RGS9693/status/1431990061151649795,2021-08-30
たまま,自分、就活が嫌であります。,https://Twitter.com/Flak_tamama/status/1431987849591590921,2021-08-30
てるてる,就活のやり方が本当に分からない,https://Twitter.com/C2Gzmkr/status/1431983951439011841,2021-08-30
あいす,"就活でストレスヤバくてほんとに無理なんだが。やること多すぎ。無理
たすけて。",https://Twitter.com/Kw9Yg/status/1431972688872968196,2021-08-30
S@21卒,2つの事を同時にできないから就活は出来てないしwebデザインの勉強も進んでいません😀,https://Twitter.com/21no_s/status/1431970557822521345,2021-08-30
いか,就活してわかったことなんて自分が自分の事さえ分からない幼稚な人間って事だけだから　何もしてないし何をしたいかもわからないし何もしたくない,https://Twitter.com/G3bR3/status/1431967133504704512,2021-08-30
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1431963376259792896,2021-08-30
卆,就活やだー,https://Twitter.com/90kuju06/status/1431957646408491015,2021-08-30
尾張 @22卒,就活やだ！！！,https://Twitter.com/EmXrQwIy4JvYq54/status/1431952097361022976,2021-08-30
みな🐶23卒,やばい、何もしてない時も就活のことが頭にあるほんとにむり、、(?),https://Twitter.com/m_mjfo/status/1431951307607216128,2021-08-30
イリヤおじさん🍎,"就活のやつ、成功体験書けば終わるんだが、成功体験無さすぎて500時間くらい悩んでる
失敗なら幾らでも書けるんですがね！",https://Twitter.com/Pvt_Ilya/status/1431905953016803329,2021-08-30
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1431904241174474753,2021-08-30
ｲｵﾘﾝ@だいぶサクランボに詳しい,"就活始めます（今更）
結構難しそうだな、",https://Twitter.com/gamagaruL2R/status/1431893024347361281,2021-08-30
だから死にたいbot,難関大学に入学出来たのに就活つらすぎて死にたい,https://Twitter.com/wannadie_bot/status/1431891630177460231,2021-08-30
ゆうか,就活きつすぎる,https://Twitter.com/etq_1/status/1431874381756579845,2021-08-30
ゆうや@23卒,"ESの添削していただける方いませんか？
#23卒 
#就活 
#ES 
#ES添削",https://Twitter.com/E3oNbiA1Bv6dlMD/status/1431819716872392709,2021-08-30
キュンキュン,"就活が嫌なの自信がないからなのかも
自信ないよ〜、、",https://Twitter.com/Ux__xU_U/status/1431812128478957573,2021-08-30
たまま,就活つらすぎて逃げたい,https://Twitter.com/Flak_tamama/status/1431811192515743749,2021-08-30
ヨシヤマ,自覚ないからマジで就活進まない,https://Twitter.com/scusi718/status/1431811164476899328,2021-08-30
りさ@23卒🌻,ひたすらES書いてる #23卒 #就活,https://Twitter.com/risariiisa2021/status/1431788293771960322,2021-08-30
生き延びたい23卒,いまだに就活がよくわからない,https://Twitter.com/ad2_j7ja/status/1431787082175770624,2021-08-30
あいり,うーむフロネシス何で就活しようか悩むなぁ,https://Twitter.com/bambi_irie/status/1431785067718660099,2021-08-30
🐈‍⬛,エントリーシートの書き方分からんくて泣いてる,https://Twitter.com/l023il/status/1432022692329181187,2021-08-30
アオヤマ・ソタロ,エントリーシート書きたくねぇ…,https://Twitter.com/blue_mtsoutaros/status/1431971477956431875,2021-08-30
ﾄﾞﾗｲｱｲｽ,エントリーシートが全然書けなくて萎えてる,https://Twitter.com/DRYminiaturezn6/status/1431960399566438401,2021-08-30
🦊えび🐰,エントリーシートですか？進んでません🙂,https://Twitter.com/ebiebi041/status/1431944967006556162,2021-08-30
もんち,"エントリーシートってもう書いた方がいいのかな
いつ使うんだあれは",https://Twitter.com/banana_cpa/status/1431937261088608261,2021-08-30
み,はよエントリーシート書け自分,https://Twitter.com/JZKMMp9CbafQXU2/status/1431925189667811338,2021-08-30
"ｽﾞｽﾞﾒ""",エントリーシート志望理由が永遠にかけない,https://Twitter.com/suzumesabu2828/status/1431880725888835586,2021-08-30
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1431876790897692679,2021-08-30
🦈篠っち🦈,エントリーシート書いてください。,https://Twitter.com/ayanamireikasyo/status/1431861361328340993,2021-08-30
ペヤングを半分こしたげろ,エントリーシート書くのしんどい,https://Twitter.com/kk_ee_rr7/status/1431843099496517634,2021-08-30
Ritoha@毎日腹筋続けたい、ウマ娘3万ジュエル貯めた,エントリーシートを書かねばならぬ,https://Twitter.com/Ritoha5/status/1431788054834909185,2021-08-30
こんにちわんこそば,いやあ！！面接何言われるかわかんない！怖い！わかんない！！！,https://Twitter.com/iruka_oisii/status/1432125776468475911,2021-08-30
まいたけ🧚‍♂️,あー！！！面接やだ！！！！,https://Twitter.com/hritmitk_4989/status/1432124960248500230,2021-08-30
し၈,今日面接練習かな、、しんどい、、,https://Twitter.com/shino_spoon/status/1432122026173472769,2021-08-30
オリンピックで金メダルをするマリオ,明日から面接続きなのに今日は通し。しんど。,https://Twitter.com/okoshiteeen/status/1432120262019801091,2021-08-30
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1432058044737671168,2021-08-30
【🪲】ヲタぽん𓅭t,面接の考えんとやべえ！！！明日やんけ！,https://Twitter.com/6pon_maru/status/1432010406952722436,2021-08-30
座蒲団猫🍡,あー面接練習？えっ無理。,https://Twitter.com/aleanyan2505/status/1432000633918287885,2021-08-30
emaki,"面接が一番不安
テンパりがひどいから怖い",https://Twitter.com/biscorashii/status/1431987795766091784,2021-08-30
桃音🦎,でも明日の面接練習何もしないでいくのはやばいよな…,https://Twitter.com/toon__yume/status/1431969368452173829,2021-08-30
そあろろ👯🦋☃️🎐,誰か面接のコツ教えてくれぇーっ😭,https://Twitter.com/Soalon_desu/status/1431959902847574018,2021-08-30
てるてる,動画面接難しすぎる！！,https://Twitter.com/C2Gzmkr/status/1431950799412740096,2021-08-30
ゆゆむにぃ,圧迫面接やだ、誰か助けて絶対メンタルボロボロになるーーー！！,https://Twitter.com/YuYuMuNii/status/1431943189548568577,2021-08-30
淫浩,面接自体も嫌なんすけど、面接前夜に眠れないほどの不安に駆られるのも同じくらい嫌なんすよね,https://Twitter.com/Yuan_Jiachao/status/1431932464667107330,2021-08-30
李音,"面接の練習しないとやばいやん
2日で出来るかしら",https://Twitter.com/Anran_46/status/1431926363762552832,2021-08-30
すぴすぴ,面接不安すぎて病んでる,https://Twitter.com/snw_ac/status/1431925577955491844,2021-08-30
ｳﾕ,AOの面接まで1週間ないのに何も準備できてなくて焦ってる,https://Twitter.com/xo_xo_1003/status/1431908429128290304,2021-08-30
22卒クズ就活生,明日二次面接（実質最終）だけど不安だわ,https://Twitter.com/22_zetsubou/status/1431903912383029248,2021-08-30
わたあめ,"面接どうしよう…上手くいくかな？うわ〜不安だ
何人くらい応募したんだろ？",https://Twitter.com/chinatsuuuth/status/1431896052353757184,2021-08-30
＊麻夢＊,面接って難しい,https://Twitter.com/mamu__0225/status/1431895051982958594,2021-08-30
こっぷ。,もうしばらく面接はいいや,https://Twitter.com/mdlcup/status/1431889527388327939,2021-08-30
ぴ！,面接やだこわい,https://Twitter.com/pepepepe883/status/1431886645008105476,2021-08-30
ゆきえ,明日面接なのになんで別件で不安にならなきゃいけないんだろう。,https://Twitter.com/yyyy_1920/status/1431865166811914242,2021-08-30
あ ず まꕤ*.ﾟ,面接ダメかもやばたにえんぴえん🥺,https://Twitter.com/azumaxkasumi/status/1431864575238938627,2021-08-30
しょー,明日面接やだなあ,https://Twitter.com/Shoflix3/status/1431857657288167428,2021-08-30
鬱な就活生bot,数十分の面接で俺の何がわかるの,https://Twitter.com/fuckin_shukatsu/status/1431852333168615425,2021-08-30
睦月さくら@お絵描き提督,明日面接・・・不安,https://Twitter.com/cherryte_toku/status/1431852199827554306,2021-08-30
はるちゃんです,面接やだぁぁぁぁ,https://Twitter.com/haruchandesu24/status/1431847636068233218,2021-08-30
天邪鬼“∞”,面接が一番つらい勉強だわ,https://Twitter.com/another_amata/status/1431838447661051904,2021-08-30
kazu,面接だけがいい,https://Twitter.com/kazutoraumi695/status/1431836511343833096,2021-08-30
森江,うえーんバイトの面接無理無理、うえーーーーーーーーん,https://Twitter.com/S_aori_o0/status/1431830944579657730,2021-08-30
Y,面接できるしないな…,https://Twitter.com/Y0w0_/status/1431815146616156168,2021-08-30
Asur ☺︎,"面接しんど
3回ぐらい分かりません言った",https://Twitter.com/AsuraZKDS/status/1431814953112006661,2021-08-30
もちもち,"面接無理ぃぃぃぃぃぃぃぃい
あかねさんのでクスってなって
ちょっとほぐれたァ！",https://Twitter.com/nori_sousaku/status/1431796201108561922,2021-08-30
脇汗団⚓,おれ、面接いつあるか分からんねんけど,https://Twitter.com/wakiasedan_11/status/1431794919148978178,2021-08-30
星水奈留👓🚬💊🥼,面接明日にならないかな 不安でメンタルガタガタ,https://Twitter.com/s_ousaku_naru/status/1431790606645227523,2021-08-30
みちほし,面接やだ🥶,https://Twitter.com/stariongsrvr/status/1431789713443024897,2021-08-30
豪炎寺👀無敵化,シンメトリカルって何がシンメトリカルなのか分からなかったけどインターン参加したら分かったわ,https://Twitter.com/GUM_DentaIpaste/status/1432129762948882433,2021-08-30
🧋ケイ🧋,辛いけど今日もインターン頑張る。。,https://Twitter.com/E_ri11212/status/1432115031844417538,2021-08-30
Kurumi .,明日インターンなのに何も準備できてない上に、明後日締切のESは終わらない、、ほんとにやばい,https://Twitter.com/kagami_kurumi/status/1432035176301809670,2021-08-30
AC_TLE.bf(灰),"インターンいけないの本当に辛い
泣きたい",https://Twitter.com/AC_TLE/status/1431998444613165057,2021-08-30
シロトラ🌈🍒🐞,"明日からインターンだ
不安でいっぱい",https://Twitter.com/cherry_g_f/status/1431982403766022148,2021-08-30
星屑,"初ES提出した
インターンやとESとは呼ばないのかな
何もかもわからん",https://Twitter.com/quasy40/status/1431971659263610886,2021-08-30
AC_TLE.bf(灰),"親の訳のわからない価値観のせいでインターン無理そう
つらい
じぐさんに申し訳ない",https://Twitter.com/AC_TLE/status/1431964887840739330,2021-08-30
いせみや,インターン不安しかねえな,https://Twitter.com/ISMY_KS61/status/1431946290649198598,2021-08-30
すはま,明日からインターン鬱,https://Twitter.com/suhama2623_2/status/1431932537081774080,2021-08-30
つい,明日からまたインターンなのもやばいんだけど、来週ゼミ発表なのかなりやばいんだよね,https://Twitter.com/ITF_tsui/status/1431922133794373635,2021-08-30
あかん清楚たれ子,インターンやだ,https://Twitter.com/akankunaitareko/status/1431907343466336258,2021-08-30
ゴブリン,このメンタルでインターンのES書くのやばwwwww,https://Twitter.com/123456mys/status/1431875282944724996,2021-08-30
ばんがーど,インターンこわいこわい,https://Twitter.com/ban_gard/status/1431872315340439556,2021-08-30
🐺＠23卒,10時からインターンってのが辛い,https://Twitter.com/leisele_/status/1431779655602692096,2021-08-30
