ユーザーネーム,テキスト,URL,日付
飴,もう集団行動出来ないので就職は無理ですね❗️なので死にましょう❗️,https://Twitter.com/qUe_eNw/status/1480237155847139328,2022-01-10
ヤマショウ,深夜に就職のこと考えるの良くない。病む,https://Twitter.com/YAMASHO_TARKUS/status/1480211529916379136,2022-01-10
ゆに,就職のこと考えると鬱,https://Twitter.com/u2__1chn/status/1480168520327786498,2022-01-10
いせみや,"大阪周辺か福岡周辺で就職できたらいいな
千葉だけは絶対に嫌じゃ",https://Twitter.com/ISMY_KS61/status/1480167381297430533,2022-01-10
もしもし鉄朗だbot,"もしもし黒尾です、…はい。
…進学か、就職、…はい…分かってます…",https://Twitter.com/tetsurouda_bot/status/1480167068159078400,2022-01-10
夏那,どこに就職しよう...,https://Twitter.com/nana_acelbavo/status/1480155106213793798,2022-01-10
マンボウ系男子,就職活動が辛くて辛くて泣いちゃう。#マンボウ系男子,https://Twitter.com/manbou_boy/status/1480134556108070918,2022-01-10
🌱さぬ🌱,はやく一人暮らししたいよ；；；；就職先が見つかるかもわかんないよ；；；；(突如おそいかかる就活への不安で死ぬ),https://Twitter.com/65_nemui/status/1480072960417603585,2022-01-10
かにちー,名古屋と東京就職先どっちがいいかな,https://Twitter.com/Rayeit0104/status/1480043507083804676,2022-01-10
草,明日の予定もわからないんだから就職先なんてもっとわからん,https://Twitter.com/Grass1893/status/1480022561736261632,2022-01-10
🏮とゅんもこもは🏮🧪☃️@holoXer✖️,やばいやばい就職祝いで10万貰った笑笑,https://Twitter.com/mocomoco_256/status/1480020608117506050,2022-01-10
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1480293869778771972,2022-01-10
ぎがんと,まじで死のうかな、修論も就活も無理だからね,https://Twitter.com/kv2____/status/1480245300413759490,2022-01-10
プワリ,就活病み期なう,https://Twitter.com/aaaaaa_n617/status/1480224339618590720,2022-01-10
鬱だ…死のうbot,就活…鬱だ…死のう,https://Twitter.com/utsu_shino_bot/status/1480221775825076224,2022-01-10
ᕱ⑅ᕱ .｡ഒ,就活もっとしんどい？？死ぬ？？,https://Twitter.com/h_o_Ux_xU/status/1480221476968353795,2022-01-10
kento #香水オタク,"就活何から始めればいいか分からなくて先延ばしにしちゃった。
ちゃんと始めよ。
何から始めたか教えて欲しいです🙏
#23卒と繋がりたい 
#23卒就活",https://Twitter.com/xfk_au/status/1480219840699076611,2022-01-10
ねいろ🦌通販,就活怖すぎて、ただただどうしていいかわからず、とりあえず面接なにが出るか調べてるけど、ちゃんと言えるかわからんし、面接以外の試験ほんまこわい,https://Twitter.com/NE_I_RO/status/1480211810389458947,2022-01-10
ぽぬ,課題のできなさと就活への不安と自分の何もできなさと具合の悪さで何もかも嫌になった,https://Twitter.com/WrdEc/status/1480205629595975683,2022-01-10
かお,就活、つらいです,https://Twitter.com/Xn4Qz/status/1480200997918375940,2022-01-10
73,就活も全然進んでません,https://Twitter.com/tk730211/status/1480200566001520640,2022-01-10
🔚,国試も就活もなんにもしてなくてやばいことだけはわかるんだけどどうしていいか分からない助けてくれ,https://Twitter.com/___ookii/status/1480200392445423616,2022-01-10
ちゃう,就活が不安すぎるんじゃ,https://Twitter.com/pomeha3150/status/1480176204611452936,2022-01-10
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1480174007463079937,2022-01-10
就活生ウソップ,就活苦手だな,https://Twitter.com/is_usopp/status/1480163190902505472,2022-01-10
ぴきぴき,就活なんていやじゃ！！！,https://Twitter.com/pikipikix2/status/1480151714296897542,2022-01-10
じぞクムシ🪐,来年から就活🤔だる,https://Twitter.com/zizo_musi/status/1480151474110103555,2022-01-10
うさみ,就活のwebのやつどこまで書けばいいかわからなくてつらい,https://Twitter.com/usami_pyonko/status/1480147302719569927,2022-01-10
waka•ᴗ•,"就活とか何もしてないんだけどやばい？
ESってなに？ってレベルなんだけど",https://Twitter.com/0509_Waka125/status/1480100945950568448,2022-01-10
