ユーザーネーム,テキスト,URL,日付
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1421983073055375361,2021-08-02
𝓡𝓲𝓸🍭,アルバイト不安で仕方ないし、就職も難しく感じてほんとにずっと怖い…,https://Twitter.com/corin1127_Rio/status/1421980788011114497,2021-08-02
月見🍳,どうか今回は就職ガチャ引き当てたい…もうしんどいのは嫌だ,https://Twitter.com/tukkyura/status/1421962154698108929,2021-08-02
ああああ,冷静に考えてまだ就職できるかわかってないの怖いね,https://Twitter.com/AAAA_0621_/status/1421851666941243393,2021-08-02
みみやっち⭐︎,"もう就職できるんかと心配なんだがんこんなんで大丈夫なんでしょうか
無理無理無理",https://Twitter.com/Areyouhappy_m/status/1421827580500463616,2021-08-02
まぁぴぴ︎︎ ︎︎ ᙏ̤̰,いい就職先無いかな〜🤔,https://Twitter.com/mao_dayo8/status/1421824939716354049,2021-08-02
あや,"うーーーーーーん。
まじ就職不安すぎて🐼どころじゃなくなりそうなの無理🥲🥲",https://Twitter.com/aya_0327o0/status/1421819033402310659,2021-08-02
Sulfur,コロナで就職できるか不安だ,https://Twitter.com/sulfur56089136/status/1421811675347386370,2021-08-02
ムミー,どこに就職すればいいのか分からないよ！！！,https://Twitter.com/eiZ4SihcBo5ABWN/status/1421782181953687552,2021-08-02
三流の玄人🔲🌌,就職どうしようか一生悩んでる,https://Twitter.com/ataokanotami/status/1421762071104946178,2021-08-02
ゆくとre,就職、四年後なの嫌すぎるや,https://Twitter.com/YKTRsono2/status/1421623051939028996,2021-08-02
S,就活動いてないの俺くらいだろうからマジで焦る笑,https://Twitter.com/KAMO69109597/status/1421980161604390912,2021-08-02
けだま,就活も無理なんだけどそれより今卒論の方が無理すぎるもう人生が無理すぎるんだよな早く大丈夫になりたい,https://Twitter.com/MO__FU_/status/1421889516327956480,2021-08-02
"6/8, 10/26",こんな文章何本も書いてるのかよやばいな就活生,https://Twitter.com/2720kzm1/status/1421886421959208966,2021-08-02
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1421881482407071745,2021-08-02
就活生,就活、病む～～,https://Twitter.com/syu_katsusei/status/1421874242040188935,2021-08-02
コピ,限界就活生しんどすぎて毎日無理だ……,https://Twitter.com/pp4hxr/status/1421860361230188544,2021-08-02
ふぅ,最近無事に就活終えれるのかっていう不安が大きくて病みそう😭,https://Twitter.com/Shi_nonome11/status/1421849074664235008,2021-08-02
あやめ,就活忙しくて辛い…,https://Twitter.com/mil_co_/status/1421845611947593733,2021-08-02
カミジョウ,"卒業試験ツライ。
就活ツライ。
出会いなくてツライ。",https://Twitter.com/kamijoh95/status/1421837425052033024,2021-08-02
🍭しゅくれーる🧸,はあ、、やだな就活、、,https://Twitter.com/MY_BONE_CRUSH/status/1421800006818832385,2021-08-02
就活おじさん（就職活動のエキスパート？）,今日も誰かの役に立てているといいな。 #就活,https://Twitter.com/shukatu_ojisan/status/1421793686325583874,2021-08-02
くんちゃん🐱ナノ友,急に就活に対しての不安がやばい……第1志望病院じゃないから尚更………,https://Twitter.com/chan_kunanotomo/status/1421793526954614786,2021-08-02
藻屑,就活　何もかもわからなすぎてゲロ吐きそう,https://Twitter.com/mkz__muri/status/1421790289904037890,2021-08-02
結城,就活……嫌だ、何も考えたくない,https://Twitter.com/yuki_stera/status/1421772712985333764,2021-08-02
22卒nnt社不ちゃん,"むり
就活むり",https://Twitter.com/t_il1e/status/1421769503331938305,2021-08-02
アマゾネス,まじでちゃんと就活しようかしらw,https://Twitter.com/blowjobismylife/status/1421769408691593219,2021-08-02
ろー,就活のことで頭がいっぱいで不安とストレスがやばい,https://Twitter.com/4st3s/status/1421764886036566022,2021-08-02
Tsukino,就活辛くて寝そべってる,https://Twitter.com/de_lune___/status/1421755439088209926,2021-08-02
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1421750013256900613,2021-08-02
alizarin,わたしの就活はちゃんと進むのか？,https://Twitter.com/alizarin__akane/status/1421743801614278660,2021-08-02
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1421742004170420231,2021-08-02
す ん す ん,誰か…私に就活メイク教えてくれ…全然分からねぇ…どこからが薄いんですか！？！？！？,https://Twitter.com/naruse_sumika/status/1421712005598048258,2021-08-02
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1421694579636523014,2021-08-02
とらみや,エントリーシートの書き方わけわから,https://Twitter.com/toramiyan/status/1421895401246887937,2021-08-02
タンちゃん,エントリーシート書くよ明日,https://Twitter.com/akairo_meron/status/1421894573710667776,2021-08-02
🚮,エントリーシート書いてるんだけどさ、えっ何をどう書けばいいか分からなすぎ,https://Twitter.com/megg_0119/status/1421779619313643523,2021-08-02
ぽん🚔,でも今日は面接なので一生懸命頑張ろうと思います、今のとこでこれ以上はできない〜〜〜〜〜！！！！！無理無理〜〜〜〜〜！！！！,https://Twitter.com/gu19CzG4eKVNoKz/status/1421981496143794176,2021-08-02
ぐんそう,面接死ぬほど不安でしかない,https://Twitter.com/KKHeiAtWEGzKAAO/status/1421973776401518592,2021-08-02
いまふる,今日面接だわ～面接って何聞けばいいのか未だにわかんない,https://Twitter.com/imafuru1231/status/1421973710198611970,2021-08-02
Mira,今日面接練習だが！？？？世界一嫌,https://Twitter.com/How_much_gohan/status/1421972458911895555,2021-08-02
