ユーザーネーム,テキスト,URL,日付
えろㄘ🎀🤍💍,おすすめの精神科と就職先おしえて誰か愛知県内の,https://Twitter.com/meroci_uo_ou_/status/1433176936612876290,2021-09-02
SAYO,大学はよくわからない(高卒就職組)なのでわかんないですけど……頑張ってくださいね☆,https://Twitter.com/sayo_fyna/status/1433155648540364807,2021-09-02
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1433152877158150149,2021-09-02
ハクトウ🦢,バカみたいに不安だな…就職できるのかな…,https://Twitter.com/shiragiri35k/status/1433116753538609152,2021-09-02
みゆ🦊@低浮上,9月 就職の面接が近づいてきてて不安すぎる、不安すぎておなかいたいねむれない,https://Twitter.com/myk_sama/status/1433108970516848641,2021-09-02
なるせ,もダメだ就職できません,https://Twitter.com/naruchankamo/status/1433107166353760265,2021-09-02
めん@22卒NNT男,就職以前に卒業できるか不安になってきた,https://Twitter.com/22nntMEN1/status/1433093025203298305,2021-09-02
手遅れマッキー,"やばい話していい？？
就職試験の学科やばい。本当にやばい。",https://Twitter.com/tokr_macky/status/1433069123114717190,2021-09-02
朝比奈 志門,就職がつらい(´・ω・｀),https://Twitter.com/shimon_asahina/status/1433066012824330240,2021-09-02
⅌返信下手くそマン浅漬け。,やっぱり就職した方がいいよな…こわい,https://Twitter.com/asaduke_senmuso/status/1433060662532444164,2021-09-02
とろ,再来年ほんとに就職できてるのか不安で仕方がない,https://Twitter.com/toro_ro_nt/status/1433050743313817612,2021-09-02
三大天使シャチーアントワネット,就職の作文マジで書けないやばい,https://Twitter.com/dCUjxHCQIvwRlkJ/status/1433041171882790915,2021-09-02
愛のスコール🐧,まじで真剣に就職東京でしようか迷うなこれ🙄,https://Twitter.com/hi_manato/status/1433038393349263362,2021-09-02
r,就職で将来が不安になってきた,https://Twitter.com/217rq_/status/1433024538690818048,2021-09-02
T◎−BUN,何もできない自分すいませんという気持ちなので就職できるのか不安,https://Twitter.com/hankenama/status/1433014883730092033,2021-09-02
✦あいしめ✦,まじで就職試験いやすぎてもう無理鬱だろこんなの,https://Twitter.com/teron_753x/status/1433004796517048321,2021-09-02
すず☺︎,不安すぎて泣けるけど、就職できるよね？きっとね,https://Twitter.com/_Kyo_st/status/1433003757441204233,2021-09-02
さとみん,"娘が就活で悩んでいる、、
無事就職出来るのだろうか、、不安しかない😞",https://Twitter.com/Satomin_3104/status/1432992508074606601,2021-09-02
雪,就職先どうしよう,https://Twitter.com/yuki_A0708/status/1432986278190981125,2021-09-02
Katsuo©️〆水恋,"休みの日なのに全く休んで無いのつらみ
就職クソめんどいわ",https://Twitter.com/Katsuo_Hayato6/status/1432967617937956865,2021-09-02
💫乳酸菌💫A3!はじめました,就職…どうすりゃいいのかわかんないし勇気もない…,https://Twitter.com/opusblue_0001/status/1432964452563881986,2021-09-02
ゆ chan✨,就職難しいにゃ,https://Twitter.com/Aloe07538483/status/1432963705583534082,2021-09-02
ぽ,"就職先も考え始めなきゃなあって思うけど、どこがいいとか全然わかんない
中国地方でオススメの病院とかあったら教えていただきたい、、（切実）",https://Twitter.com/popopo_mw/status/1432953010620014603,2021-09-02
ねう,イラレわからん~~😭🔥😭🔥やばいなー就職,https://Twitter.com/neu222neu/status/1432933754993975296,2021-09-02
𝙥𝙤𝙠𝙤,ちいかわ就職すりゃいいのに できないのか？！,https://Twitter.com/shya__mon__29/status/1432888766406934529,2021-09-02
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1433213627541168132,2021-09-02
るるかにチップ🐬💦✨,もうそろそろ就活したほうがいいような…………いいかな……………,https://Twitter.com/ruruka029/status/1433197032437469187,2021-09-02
ぺろりんちょ　お仕事下さい。,就活のやり方分かりません。,https://Twitter.com/mentarou08234/status/1433194667026173953,2021-09-02
なさん,就活正解がなさすぎてやり方もないのマジでクソすぎじゃね？,https://Twitter.com/nayu_nantoka/status/1433178787412328450,2021-09-02
べてぃ,就活したことないからわからん,https://Twitter.com/BanG_Bety/status/1433129222306893824,2021-09-02
もりすけ,流石にしんどいwww１年生で就活はw,https://Twitter.com/star_liliy712/status/1433111570779815951,2021-09-02
*あんだーそん,わいもや、就活いやすぎる。,https://Twitter.com/sanaCwHW_LxiSxA/status/1433094641855856644,2021-09-02
こっこ,就活いやすぎ,https://Twitter.com/PinkPon_Pon/status/1433094512654446592,2021-09-02
ミズハ,マジで来年の就活怖すぎて辛い,https://Twitter.com/___honest___M/status/1433093493312798720,2021-09-02
🐶,普通に就活が嫌なだけです！！！,https://Twitter.com/0karayume/status/1433092101776969730,2021-09-02
ぱ💫,就活のこと考えてると鬱,https://Twitter.com/pa_fuka05/status/1433078780461936644,2021-09-02
だから死にたいbot,難関大学に入学出来たのに就活つらすぎて死にたい,https://Twitter.com/wannadie_bot/status/1433076939107954688,2021-09-02
aya,就活したことないから、ほぼ分からなかった,https://Twitter.com/ay8ya8/status/1433075906797445121,2021-09-02
はな🌸大学生 投資🐕,就活やだなー😭,https://Twitter.com/Qb8IIRfCG9qCrDm/status/1433074804832178184,2021-09-02
ほえい,コロナで就活上手くいかないのが今生きてる上で1番の不安😇,https://Twitter.com/whey7000/status/1433060892220874755,2021-09-02
苗代研磨,就活何もわかりません,https://Twitter.com/orion4641/status/1433059496574652421,2021-09-02
𝑟𝑖𝑖,私もうそろそろ就活しなきゃやばいんです。。先輩方私にアドバイス頂けないでしょうか、、,https://Twitter.com/rii176cm/status/1433056164225302531,2021-09-02
🦋Hi-i🦋,就活のこと考えてたら何もしてないのに病んできた😇,https://Twitter.com/Dearest39Love/status/1433053980473511936,2021-09-02
うい🌻薄給派遣OL,就活しんどみ_(:3 」∠)_,https://Twitter.com/re120n/status/1433053322659840001,2021-09-02
翡夜神皇帝,就活何したらいいかわかんないなー寝よ,https://Twitter.com/Emperorhiyon/status/1433051700290412545,2021-09-02
具,つかWiFi死んだってなると音源やり取りもきついし就活もきついしなんかもう色々やばくないか？,https://Twitter.com/hkrkunorth/status/1433047875047419905,2021-09-02
陽かりん🐣,就活なんてしたことないし不安がいっぱいだし自分が何をやりたいかも分からないので求人探す時悩む…,https://Twitter.com/karintou_224/status/1433040421056225281,2021-09-02
陽かりん🐣,ココ最近就活しなきゃと焦ってる,https://Twitter.com/karintou_224/status/1433040239178629123,2021-09-02
niya@マロン,就活きついンゴねえ…,https://Twitter.com/sakurayohei/status/1433024565882413062,2021-09-02
限界就活生お嬢様bot,就活で自分を見つめ直すですって！？自分がわからなくなるばかりですわ！！,https://Twitter.com/SyukatsuDesuwaa/status/1433012763974983684,2021-09-02
えんぴつ,まだぼんやり眺めるだけで1ミリもやってないのに就活つらすぎてしんどい,https://Twitter.com/enpi_tsu/status/1433006916058292227,2021-09-02
ピロリきん👦🏿,正直就活のやり方がわからない,https://Twitter.com/PIRELLI810gios/status/1433004864762572802,2021-09-02
鱵,あー就活いやだな、求人みててもどこがいいかなんてわからんよー😭,https://Twitter.com/iznliakw/status/1432984350123978754,2021-09-02
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1432983562685276163,2021-09-02
ひだけん,院試も就活も何やったらいいのか全く分からんな。,https://Twitter.com/kiha2228/status/1432982744716382213,2021-09-02
み,就活が進まない無理すぎ…,https://Twitter.com/mendokudaigakus/status/1432969063035113473,2021-09-02
河奈@24卒,あーーー就活大変になるやだぁぁぁぁぁぁぁ,https://Twitter.com/souki_tessyu/status/1432968056880332803,2021-09-02
でくさゃ☄️🐬🌱,誰か俺に就活の必勝法教えてくれ,https://Twitter.com/tincos_DK/status/1432967464007045130,2021-09-02
m,就活しんどいofしんどい,https://Twitter.com/__711Rin_HERO/status/1432967389822418944,2021-09-02
かえでﾁｬﾝ。,誰か子育てメタと就活メタおしえて,https://Twitter.com/MEyes_69/status/1432953276736040966,2021-09-02
ﾏﾂﾘ,就活嫌すぎて死ぬ,https://Twitter.com/MTR192001928/status/1432953027824996352,2021-09-02
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1432952149801979910,2021-09-02
にょぎ,ネイルしようか迷ってたけど今就活中だった,https://Twitter.com/0o_sakana/status/1432949196995264517,2021-09-02
M@23卒,全然就活進んでなくて焦るなあ,https://Twitter.com/Msyukqtu23/status/1432947333289807872,2021-09-02
SaKaNa ⚜✝💾🎀,えーんえーん 就活やだよ,https://Twitter.com/FightingNimono_/status/1432946926010257408,2021-09-02
けいまり結婚おめでとう,"そんなに就活しなきゃだめ？
だめです
はい……もう嫌……",https://Twitter.com/ureshii5656/status/1432940042423468037,2021-09-02
coto,就活も無理、、,https://Twitter.com/CotoQ1729/status/1432936877372235779,2021-09-02
