ユーザーネーム,テキスト,URL,日付
ゼロ,やばいやばい16日就職の面接本番やで,https://Twitter.com/Zerokun0505/status/1435735619536232453,2021-09-09
ヒトになりたいうぐいす餅,やべえスタッフに今まで会ったことがないので就職してからが不安！！！！！！！,https://Twitter.com/iyokannoibukuro/status/1435719821417586690,2021-09-09
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1435685394574544898,2021-09-09
μ*,就職怖すぎて死んだ,https://Twitter.com/myudayo29/status/1435661544558252032,2021-09-09
植,毎日就職のことを考えて鬱,https://Twitter.com/o8_a48/status/1435648696075493380,2021-09-09
jng,就職のこと考えると嫌すぎてしんどい,https://Twitter.com/yfff_atp/status/1435627240306343939,2021-09-09
ーAー,明日は就職活動しないとやばいな,https://Twitter.com/0079side7/status/1435624581767720960,2021-09-09
労働人生向いてない,就職したくない考えるだけでつらい,https://Twitter.com/roudoujinsei__/status/1435623203037069316,2021-09-09
ᖇᓰᓰƝᗩ,"もう辛いーー！！
就職試験まで残り1週間とか
死ぬって！面接練習ボロ泣きだし
ダメだし食らうし。もう無理",https://Twitter.com/ri__171/status/1435606271474823172,2021-09-09
オレの子猫ちゃんは世界一だぞ？,"実は来週の今日就職試験です

誰か頑張れでもいいんで応援ください!!",https://Twitter.com/mtybaku__/status/1435605699468296193,2021-09-09
りの⊿,ただただ老後の不安と就職後の不安が増した,https://Twitter.com/rino_prfm/status/1435605033328865284,2021-09-09
ゼバル(低浮上),誰か助けて来週就職試験でプレッシャーが……,https://Twitter.com/inking1299/status/1435595927989874700,2021-09-09
とおい固ツイ👀,あ〜〜私は就職試験いつだろう、やだな,https://Twitter.com/Kuondesse/status/1435595590839111682,2021-09-09
K E N法,就職に関して何もわからんことだけはわかるので実質賢者,https://Twitter.com/God_Save_the_KU/status/1435594713906626564,2021-09-09
セット@Belias鯖(ManaDC),まだ就職決まってないの不安すぎてマジで泣きたんやが？！,https://Twitter.com/set29501739/status/1435591133355151365,2021-09-09
るい子,就職試験不安すぎて……,https://Twitter.com/ruiko_sub/status/1435578696241278977,2021-09-09
りばーしぶる綾Ag🐾,就職したいところの志望動機が金がいいからしかないのはやばい……,https://Twitter.com/ayasin_STE/status/1435557611454156800,2021-09-09
Y君,"就職試験来週
嫌だなー嫌すぎる",https://Twitter.com/y_freestyle_617/status/1435550836529111046,2021-09-09
Nono👑⁷@一時的に低浮上気味,"もう来週の土曜日が就職試験とか､､､
ヤバいって。",https://Twitter.com/nono_to_Y_7P/status/1435545299435413512,2021-09-09
0℃,就職試験とか面接とか練習足りて無さすぎて心配だぁん,https://Twitter.com/ozc66JyPFW8qU2b/status/1435542167468998660,2021-09-09
虹鱒,多分就職活動で一番辛いの履歴書書くこと,https://Twitter.com/zin02001062/status/1435530418069983233,2021-09-09
ぷくぱら,"いやでもあと5年以内に就職しないといけない事実
嫌すぎる",https://Twitter.com/haruharu1918/status/1435526786440306690,2021-09-09
【NSE】たけしあ/解説,就職試験やだ,https://Twitter.com/sinthan53/status/1435521623046590469,2021-09-09
威風組 レチビ,"やばいやばい
就職試験今月の16日らしい
今日急に来たからやばいやばいやばい
勉強しなきゃ
ヽ(´Д`；)ﾉヽ(´Д`；)ﾉ",https://Twitter.com/Re_chibi9180/status/1435461370695147520,2021-09-09
闇🔞,"無理に就職を目指さなくてもいいんかなぁ
わからんちんちん",https://Twitter.com/nsfw_ULED/status/1435455317312098310,2021-09-09
涼風すい@睡蓮花っぷ10/23・24,"就職どうしよ、、
やりたいことわかんない",https://Twitter.com/Suixir/status/1435448767944134658,2021-09-09
はづきﾁｬﾝ🐰,誰かいい就職先教えて下さい…,https://Twitter.com/maxxcn_/status/1435426922184409088,2021-09-09
ねこちゅー,就職も確かに考えなきゃいけないのは分かるんだけど、,https://Twitter.com/ItatiNeko_ten/status/1435415435009167360,2021-09-09
せんり@23卒タマビ生,"今何したらいいのかわかんない
#23卒 #23卒と繋がりたい #就活 #就活生",https://Twitter.com/senri_senri_/status/1435753960090968068,2021-09-09
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1435705991543156739,2021-09-09
ばか,就活 しんどい,https://Twitter.com/12qp_e/status/1435675593916370947,2021-09-09
2㌧,"まじで大学4年間しか派手髪出来ないのつら
てか就活も派手髪無理なのつら
意味わからんほんま世の中クソ",https://Twitter.com/n0tet0self/status/1435660451367452679,2021-09-09
さいとぅ／怠惰るWAVE,これが就活鬱！？,https://Twitter.com/Saito_isbot0313/status/1435658834823946241,2021-09-09
くろかびもやし,就活だけが不安,https://Twitter.com/kurokabimoyasi/status/1435656303993507843,2021-09-09
バカンス大臣チコカー10/6マツキヨ,就活の事考えてしんどくなってる,https://Twitter.com/_daily_holiday/status/1435652560333856772,2021-09-09
五等分TV中野しょー,就活辛い,https://Twitter.com/NakanoMikudesu/status/1435641534792155137,2021-09-09
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1435641208164925441,2021-09-09
限界就活生お嬢様bot,就活で自分を見つめ直すですって！？自分がわからなくなるばかりですわ！！,https://Twitter.com/SyukatsuDesuwaa/status/1435639999857238023,2021-09-09
かずのこ（鯑）,就活って考えただけで病みそうや,https://Twitter.com/craziness_k/status/1435637375393091592,2021-09-09
10月28日,就活来年くらいからしようっていうのは決めたんだけど嫌すぎてたまらん,https://Twitter.com/ushiro0001/status/1435634107325681665,2021-09-09
ゴミカストロ,"就活、精神力がどんどん削れていく
すごいしんどい、辛い
泣きそう",https://Twitter.com/Astro_1133/status/1435623679476396032,2021-09-09
のりのつくだに,就活関連のこと何もしてこなかったから何からすればいいのか何をすればいいのかまったくわからない,https://Twitter.com/tsukudanidesuyo/status/1435617000936542214,2021-09-09
なまにく,就活だる～～入職後嫌になったら辞めればいいんだけどね,https://Twitter.com/Sono_Niku/status/1435610212606509058,2021-09-09
non子🌌,就活きつい,https://Twitter.com/n_koko7/status/1435605768925974534,2021-09-09
める＠WeRuby13期生,就活不安だな、、,https://Twitter.com/e8vOjEcBXs1n6/status/1435605677750194182,2021-09-09
むらむら,多分、試験が辛い、就活が辛い、人間関係が辛い、こういうことから来る鬱は正常,https://Twitter.com/Argentina_08/status/1435600862894723075,2021-09-09
