ユーザーネーム,テキスト,URL,日付
りほまる,就職まであと3ヶ月なん嫌すぎて病んでる,https://Twitter.com/uso_8OO/status/1476588672934121473,2021-12-31
灯,"就職の履歴書ムズすぎて無理
文章書くのが1番辛い",https://Twitter.com/jap_artistagram/status/1476533381722607619,2021-12-31
ふわふわのパン,就職に不安しか感じない,https://Twitter.com/gingingitigiti/status/1476468345050304513,2021-12-31
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1476408670359801856,2021-12-31
握手会が無いと死んじゃうワニくん,増田明美さん、今のところ就職先しか教えてくれてない,https://Twitter.com/UAwaaQVXFBnszBE/status/1476361739025653762,2021-12-31
ﾓﾔｼﾁｬﾝ,就活不安になるな,https://Twitter.com/moyasikko_m/status/1476585421547401219,2021-12-31
🌾すなどけい,就活ってこんなに辛いのか,https://Twitter.com/sunadokei_709/status/1476564424475308035,2021-12-31
とーな,就活嫌だぁぁぁぁぁ,https://Twitter.com/amb1007_LL/status/1476561646516867080,2021-12-31
だるま⛄️💤,2023年の1月ってめちゃ就活中じゃない??無理無理やだやだやだやだやだやだずっと大学2年生でいたい,https://Twitter.com/daruma_4023z/status/1476551079764840450,2021-12-31
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1476526518381981697,2021-12-31
Kurauchi,"やばいやばい
就活に卒論の準備に",https://Twitter.com/radon_arashi/status/1476526011059929091,2021-12-31
筆折　こころ,就活編、きついなぁ…,https://Twitter.com/BXV1ZF0exKCbxoV/status/1476514492234481668,2021-12-31
shinpei,私に就活という物を教えてください…笑,https://Twitter.com/shinpei20001114/status/1476474560581337092,2021-12-31
就活イレブン,就活が辛いなら、辛いのごと楽しめばいいんだ！,https://Twitter.com/syuukatu_eleven/status/1476367138940403712,2021-12-31
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1476365909149519877,2021-12-31
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1476601462067437568,2021-12-31
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1476692151748927488,2021-12-31
さくさくら,面接が近づいてる嫌だ,https://Twitter.com/sqkula_3/status/1476517824655151104,2021-12-31
鬱な就活生bot,数十分の面接で俺の何がわかるの,https://Twitter.com/fuckin_shukatsu/status/1476411267145682957,2021-12-31
そだちゃ,グループ面接なんが本当にやだ,https://Twitter.com/aironi00/status/1476377122310868993,2021-12-31
