ユーザーネーム,テキスト,URL,日付
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1451690890100047873,2021-10-23
ハマダ,ちゃんと就職できるかって言う不安が今の段階からあるんだけど、どうしたらいい？？辛ーーー。,https://Twitter.com/nvvpfi/status/1451545957577854977,2021-10-23
koto,就職せろよだって、は？いいんだね？,https://Twitter.com/kotosugihara/status/1451521692333838342,2021-10-23
桜シヅキ,あーん就職とかわかんない無理ーーー,https://Twitter.com/39shizuki/status/1451519718561484804,2021-10-23
かえる,就職どうなるかわからんけど今だけでも楽しいのはいいこと,https://Twitter.com/camelliawisteri/status/1451519374435569669,2021-10-23
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1451513854500823055,2021-10-23
こま❤️‍🔥タグ巡回,ま、就職出来るかわかんないんですけどね！！！しぬ,https://Twitter.com/k0x_xma/status/1451509667998228485,2021-10-23
減煙,なんとなく不安なの、就職決まりそうだからか？,https://Twitter.com/oinorihakuai/status/1451491601558040582,2021-10-23
momo🌸🐠81/57,就職先探してると病みそう,https://Twitter.com/momo17086823/status/1451489638623809539,2021-10-23
パカ子,就職できる気がしない( ˙꒳˙  ),https://Twitter.com/arupaka0528/status/1451482899883048961,2021-10-23
GAKU,就職に対する不安が脳内の9割を占めている,https://Twitter.com/GAKU_shuhei_dq/status/1451477561960124420,2021-10-23
りく@バケモン,就職先に1番悩むよな、東京か大阪にいくつもりだけど、、,https://Twitter.com/rikuuum2565/status/1451472464194637824,2021-10-23
ナトリシウム,今日ダメだったらまじで就職しよこれ無理だ研究とか出来ねぇわ俺なんかに,https://Twitter.com/Natricium/status/1451457585790418945,2021-10-23
マンボウ系男子,就職活動が辛くて辛くて泣いちゃう。#マンボウ系男子,https://Twitter.com/manbou_boy/status/1451445512465313795,2021-10-23
おぢホイホイ,来月から就職やだよおおおおおおおおおおおおおお,https://Twitter.com/nomakasu/status/1451440910646976512,2021-10-23
銅塀,そもそも就職できるかもわからんってことかよ #ミヤネ屋,https://Twitter.com/koutei_2/status/1451437710065881089,2021-10-23
ねこくんブログ,卒論書いても書かなくてもいいんですが、就職した後上司から卒論とか聞かれそうで怖い,https://Twitter.com/nekokun_blog/status/1451385654214938625,2021-10-23
まめふ,同期が就職についてどこまで考えてるのか全く分からなくて厳しいんだよな,https://Twitter.com/774mame/status/1451381677096247301,2021-10-23
股王,"就職面接どうしたらいいんだ
何もわからん",https://Twitter.com/MATAOU0920/status/1451363828512411648,2021-10-23
限界就活生お嬢様bot,就活で自分を見つめ直すですって！？自分がわからなくなるばかりですわ！！,https://Twitter.com/SyukatsuDesuwaa/status/1451637918481616898,2021-10-23
める,"実習と就活が重なるとこんなに辛いんだね
しんどい",https://Twitter.com/Kcq3G/status/1451622670424936448,2021-10-23
