ユーザーネーム,テキスト,URL,日付
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1458523255187582976,2021-11-11
?,でもほんまに就職も不安よなあ、どうしようどうしたらいいかね,https://Twitter.com/__yakamashiwa/status/1458456108905865220,2021-11-11
なぴ,なんかもう勉強わからないし就職試験わからなすぎてイライラするw,https://Twitter.com/nm_hina18/status/1458453343584460805,2021-11-11
しょうたろう,就職どうするかで一生悩んでる,https://Twitter.com/Sakaurami_k/status/1458444860411691008,2021-11-11
楠木,就職への不安を抱えて毎日生きてる,https://Twitter.com/deltakanata0805/status/1458441325750067204,2021-11-11
んなさん/面接18にち,就職のこととか、父のこととか、やだなぁ、やだなぁ、、,https://Twitter.com/milk_imaima/status/1458373038605357057,2021-11-11
ヨウユキ,就職のこと考えたら不安しかない,https://Twitter.com/remosse512/status/1458358778659704832,2021-11-11
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1458353897333207040,2021-11-11
ｋｉｋｉ,就職できるかなにができるのか不安で怖いけど、私ならできる！！,https://Twitter.com/Jamhitomi/status/1458352865874165760,2021-11-11
⚡︎そねちゃん⚡︎,マジで就職関係の進路に悩んでいる。,https://Twitter.com/Tach_Sonech/status/1458345594053750786,2021-11-11
もぎちゃん😘,保健師も取りたいと考えているけど就職できるのか悩む資格ではある。。。誰か教えて。。。,https://Twitter.com/Yomogix_2/status/1458320589241094144,2021-11-11
仕事ダルすぎ,就職ってマジで運だし入ってみないと分からないこと多いのは分かるんだけどそこじゃないんだよね〜,https://Twitter.com/murimuridaru/status/1458286620638003204,2021-11-11
あおぺんS,"ここ最近、就職焦っている。
焦ったらいい事ないのはわかっているんだけど。",https://Twitter.com/dosanconsa1991/status/1458282274063994883,2021-11-11
Fumiya Uchikoshi,アメリカで就職できなさそうだったらイギリスがいいかなと思ってたけど、シンガポールもいいかもしれない,https://Twitter.com/ufsoc/status/1458272773084618757,2021-11-11
シャチの魔人,マジで就職できる気がしない,https://Twitter.com/hhShachi/status/1458261493716111365,2021-11-11
NEET,いいんだ別に……そうさ……ガッカリするようなことじゃない……元々無理だったんだ……オレに就職なんて……。,https://Twitter.com/kaiji_shigoto/status/1458238039692836865,2021-11-11
たっ@23卒,みんなの就活のモチベ教えてみて？,https://Twitter.com/azaHJa9BOH8h8uP/status/1458567845751963648,2021-11-11
かみむら @ブラックな地方インターン生,"SNS苦手です。自分のこと発信するのが苦手だからです。
就活だと何が苦手なのって聞かれるんだろうな笑  わからんて笑
#ブラックな祭り",https://Twitter.com/soranike_ayana/status/1458566890717069315,2021-11-11
ろいちん@化石,就活より卒論の方がきつくね？？,https://Twitter.com/roichin_45/status/1458550309886652419,2021-11-11
院生の毒舌な妹bot,もう就活辛くてさー! あ、ごめんね、お兄ちゃんの前で……。,https://Twitter.com/grad_bot/status/1458520718019534848,2021-11-11
つばさ,え、就活てこんなきついん,https://Twitter.com/tsuba_bsk/status/1458515158775390209,2021-11-11
しばりBot,大切なことは全て就活が教えてくれた,https://Twitter.com/Chivalbot/status/1458504261411950592,2021-11-11
みー,就活がつらすぎる死にたみ,https://Twitter.com/B39Gb8QZ3q8h808/status/1458488750237839362,2021-11-11
真夜花,就活のES推しについて書いてるんだけどどう考えても500字に収まらない無理だろこんなの…………軽く書いただけで1000字超えたのに,https://Twitter.com/flower_night87/status/1458488493361881088,2021-11-11
moja★12.33,受験も辛いし就活もつらいな,https://Twitter.com/mojamapuyo/status/1458464906559119367,2021-11-11
i j a e,就活むずいなあ,https://Twitter.com/ijaejaei/status/1458455555832356865,2021-11-11
柊 依,やりたい事や好きな事を見つけるのは難しいので、やりたくない事を考えて就活しようかな。それでもいいのかな。,https://Twitter.com/apple_yori_/status/1458447295947558912,2021-11-11
くも@23卒,もう就活、病む病む😭,https://Twitter.com/PsPg2ee/status/1458446792786276356,2021-11-11
nao,でも就活終わるまでは無理かもな…つら,https://Twitter.com/nao73982212/status/1458445461379960832,2021-11-11
就活イレブン,就活が辛いなら、辛いのごと楽しめばいいんだ！,https://Twitter.com/syuukatu_eleven/status/1458444111028318208,2021-11-11
