ユーザーネーム,テキスト,URL,日付
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1451992815127334912,2021-10-24
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1451966793107476480,2021-10-24
茶城あお,就職無理だ……もう,https://Twitter.com/saziro_ao/status/1451921247328079875,2021-10-24
そめこ,4月…🥲就職したてでどうなってるか分からんけど行きたい🥲,https://Twitter.com/s__fuII/status/1451864725927587849,2021-10-24
いちなり,就職決まらなすぎて国試の勉強一回もしたことないどうしようやり方わかんない誰か助けて,https://Twitter.com/salu14x/status/1451863834537250820,2021-10-24
あれ,うーん就職できる気がしない,https://Twitter.com/alldropforce/status/1451845163433676805,2021-10-24
みかん@🍊,"つらい〜
就職してちゃだめなんですか！？",https://Twitter.com/jpsf8k/status/1451789692416905216,2021-10-24
るる🦖▿,田舎に就職が大正義ってよく分かるな,https://Twitter.com/lulu_keep/status/1451767506666807298,2021-10-24
あろま,就職もどうしようか,https://Twitter.com/Arororomarroo/status/1451724177694547969,2021-10-24
ほっしーメモ@心が元気になるツイートまとめ,"・焦って就活
・焦って断薬
・焦って筋トレ",https://Twitter.com/hossymemo/status/1452054620021280771,2021-10-24
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1452042716032819205,2021-10-24
裏キット,就活嫌すぎ,https://Twitter.com/_pTIK/status/1452014452128112642,2021-10-24
RまるだしたまごЯ（無精卵）,就活、難しいなぁ…,https://Twitter.com/maruegg_girls/status/1451977391371218948,2021-10-24
RまるだしたまごЯ（無精卵）,それはそうと就活めちゃめちゃ悩んでる,https://Twitter.com/maruegg_girls/status/1451974457858265089,2021-10-24
🦋🌸,就活の不安と授業の不安と資格の不安とバイトの不安と吐き気😁‼️,https://Twitter.com/kome_teokure/status/1451932401211363330,2021-10-24
チキン勉強できない,就活のガクチカ絶対書くことないよな、わかる,https://Twitter.com/Ken87680135/status/1451929742974734341,2021-10-24
mizu🦈,"きついっては分かってたけど！
就活がほんとにきつい！！😵‍💫",https://Twitter.com/mizu33k/status/1451926618578976779,2021-10-24
ﾔﾝﾏ@23卒,"就活は茶番！！！←まぁわかる

だからしない！！←わからん

戒め",https://Twitter.com/inyanma/status/1451923859104419844,2021-10-24
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1451918813444726787,2021-10-24
える,まじで就活 無理かも,https://Twitter.com/unkn0wnll/status/1451917765971902475,2021-10-24
柏もち@低浮上,就活ブルー。将来が不安,https://Twitter.com/kas_no_mochi/status/1451914905305509897,2021-10-24
まりもっこり(りぃ）,なんでこんなに就活ってだるいのやば,https://Twitter.com/rikunbaa/status/1451901041654394881,2021-10-24
アカツキ,就活の不安とか重圧とかみんなどうしてるんwwww,https://Twitter.com/glimgaw1997/status/1451891152815210496,2021-10-24
たっちゃん,就活どうしよう,https://Twitter.com/tachan213631576/status/1451887594673893380,2021-10-24
ふみ🦑,就活不安でインターンシップ参加するたびに不安度が上がる,https://Twitter.com/Maple_fumiya/status/1451875447352872968,2021-10-24
しま,80も減らされるとさすがにしんどいですなぁ、逆にこれは暫く就活無理では？？wwwwww,https://Twitter.com/_B_T_D/status/1451871794760019974,2021-10-24
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1451843042575478784,2021-10-24
蒼@ツイッターは2時間まで,就活無理じゃね,https://Twitter.com/aoaoblue_jp/status/1451840449828712452,2021-10-24
momo,"夜職しようかなけど怖いな
もし、就活で不利になったら嫌だし。",https://Twitter.com/momo333333_/status/1451814892512571394,2021-10-24
ろく,就活やだ,https://Twitter.com/Kyogre_66ss/status/1451812482821935107,2021-10-24
Ψ(プサイ),"わかる……！ かなりわかる……！
お陰でろくに就活なんかしてない",https://Twitter.com/psi_petro/status/1451796966367633416,2021-10-24
NOE,就活に不安しかない,https://Twitter.com/NOE63298223/status/1451775345242218497,2021-10-24
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1451764303585951748,2021-10-24
A@23卒(NNT),就活無理です死にたい,https://Twitter.com/nainaiteiNNT/status/1451730970692886532,2021-10-24
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1451723640420986880,2021-10-24
シェリー,就活が嫌すぎる,https://Twitter.com/reomisa0104/status/1451703093066825729,2021-10-24
サブカセット,こんな時間までエントリーシート書いてやっと構成ができたわ…あとは書くだけ,https://Twitter.com/kase_subbox/status/1451930355028484101,2021-10-24
ZR40,とりあえず面接嫌だ,https://Twitter.com/M_Mistgreen/status/1452054776653377536,2021-10-24
けいちゃん,面接は苦手だよ～,https://Twitter.com/kchan_activity/status/1452048483649609730,2021-10-24
key🐏☃️,今日も面接やだるいなぁ,https://Twitter.com/key_1222_poke/status/1452044918222843906,2021-10-24
こちゃん。,"誰か面接の練習一緒にしてください

 #23卒  #23卒と繋がりたい",https://Twitter.com/nandemoaka____/status/1452027327165046784,2021-10-24
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1452012028952936450,2021-10-24
排気口,面接やばい,https://Twitter.com/fuckyouchildren/status/1451964000170758144,2021-10-24
パチンカスJK,あー無理無理面接死にたーーーーー,https://Twitter.com/daikukaino_top/status/1451912462232473602,2021-10-24
こりあ　23卒,面接やだ,https://Twitter.com/Jmz4XXRBQfsFaxk/status/1451908825682874378,2021-10-24
鬱な就活生bot,数十分の面接で俺の何がわかるの,https://Twitter.com/fuckin_shukatsu/status/1451897198195601413,2021-10-24
紫月,やっぱり面接が無理すぎる,https://Twitter.com/shidurino_k0524/status/1451893225434673154,2021-10-24
U,面接不安、ああ〜,https://Twitter.com/Shoegaze_RD/status/1451892332672868360,2021-10-24
ぜく,明日面接。練習もあまりできてない。やばいな,https://Twitter.com/S_3_k_S/status/1451879559540850700,2021-10-24
洗濯機,面接怖くなってきた〜やだやだ,https://Twitter.com/Sentakuyo/status/1451874701643374594,2021-10-24
戦場の豪火球,あー面接嫌じゃー,https://Twitter.com/senjou765_24/status/1451864152545263623,2021-10-24
公務員試験に苦しむ小悪魔bot,正直、面接の何がダメだったのかわからないの。,https://Twitter.com/komuin_fail_koa/status/1451858135417638921,2021-10-24
右はライト左はレフト,"あー
これが明日もあるってまじ？
面接辛い",https://Twitter.com/right_left77/status/1451856486779404292,2021-10-24
澪🦈,面接3人はやばい,https://Twitter.com/ironnaotaku22/status/1451839913410760711,2021-10-24
きなこ,誰か文系の面接ベタ問教えて,https://Twitter.com/xuLoKqp276QrnIr/status/1451839640017592326,2021-10-24
ようそつ➰‼️【Siel】,やばい、明日面接なのに,https://Twitter.com/risk_UoxoU/status/1451833223185526792,2021-10-24
ケロンヌ🍨🐰💍,面接対策やだなあ🥲,https://Twitter.com/kero_melove/status/1451822715720011780,2021-10-24
あ,"#林さんセミナー

来週面接あるのに出来ていないことが多すぎて不安しかないです、、、",https://Twitter.com/shukatuyametaio/status/1451809784768782338,2021-10-24
鮭,面接の結果が不安だ,https://Twitter.com/sake_sa1mon/status/1451803120074252291,2021-10-24
【EGG】バブベコ,自分の長所が分からなすぎて面接練習の紙書けん,https://Twitter.com/babubeko/status/1451798419358437378,2021-10-24
